latitude longitude arsenic censor depth_m year_made year_observed
24.804 91.547 19.4 0 151 1997 1998
24.767 91.532 15.8 0 143 1996 1998
24.753 91.571 10.8 0 115 1992 1998
24.723 91.574 1.9 0 110 1996 1998
24.77 91.555 12.5 0 139 1986 1998
24.787 91.638 33.8 0 77 1987 1998
24.791 91.664 34.7 0 98 1991 1998
24.926 91.511 58.7 0 163 1997 1998
24.942 91.589 37.2 0 123 1995 1998
24.939 91.651 28.1 0 128 1997 1998
25.077 91.779 70.3 0 72 1997 1998
24.992 91.853 0.5 1 29 1970 1998
25.064 91.87 61.4 0 69 1994 1998
24.092 91.581 1.3 0 51 1994 1998
24.15 91.55 0.5 1 45 1996 1998
24.258 91.536 34.2 0 36 1977 1998
24.271 91.476 33.3 0 76 1995 1998
24.269 91.479 20.3 0 51 1996 1998
24.193 91.431 0.5 1 41 1992 1998
24.142 91.487 0.5 1 45 1984 1998
24.306 91.3 1.6 0 72 1992 1998
24.286 91.26 39.6 0 59 1987 1998
24.261 91.254 10.6 0 60 1985 1998
24.274 91.283 0.5 1 47 1984 1998
24.298 91.518 19.1 0 50 1979 1998
24.369 91.572 0.5 1 55 1996 1998
24.363 91.523 16 0 51 1968 1998
24.098 91.289 0.5 1 98 1983 1998
24.105 91.273 11 0 46 1983 1998
24.048 91.359 0.5 1 27 1993 1998
24.157 91.352 0.5 1 62 1995 1998
24.2 91.317 0.5 1 44 1988 1998
24.213 91.363 0.5 1 41 1994 1998
24.355 91.447 17.3 0 44 1993 1998
24.307 91.432 8.1 0 56 1994 1998
24.275 91.364 0.5 1 51 1996 1998
24.303 91.45 18.7 0 35 1997 1998
24.351 91.369 0.5 1 45 1997 1998
24.383 91.413 2 0 139 1988 1998
24.378 91.414 1.8 0 46 1980 1998
24.575 91.513 10.7 0 66 1983 1998
24.628 91.541 25.6 0 54 1988 1998
24.612 91.629 4.4 0 49 1996 1998
24.572 91.603 0.5 0 38 1995 1998
24.469 91.574 0.5 1 39 1996 1998
24.542 91.56 6.7 0 50 1997 1998
24.489 91.474 12.1 0 64 1997 1998
24.088 91.098 0.5 1 59 1996 1998
24.072 91.11 0.5 1 43 1984 1998
24.064 91.18 2 0 61 1996 1998
24.05 91.176 11.9 0 31 1997 1998
24.045 91.067 316 0 46 1986 1998
23.708 91.139 1.7 0 26 1980 1998
23.748 91.138 0.5 1 35 1992 1998
23.77 91.071 105 0 34 1992 1998
23.746 91.078 24.7 0 35 1984 1998
23.791 91.175 0.5 0 20 1989 1998
23.77 91.112 0.5 1 52 1998 1998
23.811 91.125 5.6 0 35 1985 1998
24.039 91.005 382 0 33 1986 1998
23.985 90.979 42.2 0 33 1978 1998
24.419 91.539 5.8 0 57 1986 1998
24.426 91.609 0.5 1 58 1997 1998
24.285 91.495 38.5 0 47 1973 1998
24.231 91.245 0.8 0 79 1992 1998
24.216 91.223 0.5 1 51 1996 1998
24.164 91.229 357 0 47 1995 1998
24.139 91.192 0.5 1 46 1992 1998
24.154 91.153 0.8 0 50 1995 1998
23.895 91.228 0.5 1 37 1991 1998
23.808 91.204 0.5 1 36 1975 1998
23.84 91.153 110 0 74 1989 1998
23.836 91.198 0.5 1 39 1983 1998
23.838 91.238 5.8 0 34 1988 1998
23.865 91.214 0.5 1 82 1985 1998
23.98 91.111 0.5 1 190 1988 1998
24.04 91.143 31.5 0 51 1997 1998
24.071 91.26 0.5 1 28 1989 1998
23.971 91.264 0.5 1 13 1996 1998
23.945 91.214 0.5 1 23 1980 1998
24.024 91.09 68.4 0 43 1983 1998
23.924 91.117 0.5 1 40 1995 1998
23.866 91.149 230 0 43 1990 1998
23.904 91.22 0.5 1 28 1994 1998
23.468 90.333 87.6 0 66 1993 1998
23.481 90.367 318 0 43 1993 1998
23.468 90.321 274 0 46 1990 1998
23.478 90.305 111 0 56 1993 1998
23.473 90.279 347 0 46 1990 1998
23.474 90.256 192 0 58 1993 1998
23.544 90.624 293 0 27 1986 1998
23.56 90.653 188 0 23 1964 1998
23.54 90.673 47.9 0 24 1998 1998
23.594 90.63 312 0 21 1997 1998
23.588 90.6 224 0 54 1997 1998
23.572 90.374 14.3 0 108 1984 1998
23.543 90.389 501 0 52 1979 1998
23.556 90.428 253 0 77 1992 1998
23.571 90.424 458 0 50 1996 1998
23.603 90.359 218 0 55 1993 1998
23.627 90.312 187 0 51 1993 1998
23.614 90.335 129 0 79 1994 1998
23.688 90.557 0.5 1 44 1989 1998
23.661 90.569 1.4 0 54 1996 1998
23.545 90.499 4.5 0 53 1994 1998
23.519 90.505 56.3 0 41 1988 1998
23.524 90.514 11.7 0 56 1984 1998
23.488 90.511 57.6 0 86 1996 1998
23.565 90.518 11.7 0 76 1990 1998
23.521 90.209 143 0 60 1996 1998
23.519 90.257 475 0 70 1994 1998
23.539 90.289 193 0 56 1995 1998
23.516 90.287 319 0 39 1992 1998
23.546 90.337 517 0 56 1992 1998
23.576 90.307 130 0 56 1994 1998
23.596 90.272 167 0 60 1995 1998
23.519 90.443 292 0 51 1995 1998
23.501 90.438 216 0 52 1964 1998
23.505 90.468 226 0 51 1996 1998
23.474 90.456 212 0 20 1976 1998
23.489 90.469 70.2 0 51 1994 1998
23.429 90.493 76.1 0 26 1995 1998
23.441 90.491 76.8 0 26 1996 1998
23.472 90.501 108 0 51 1996 1998
23.542 90.533 2.4 0 125 1996 1998
23.542 90.532 5.9 0 85 1990 1998
22.969 89.477 259 0 77 1989 1998
22.984 89.446 97.3 0 49 1990 1998
22.989 89.462 0.5 1 54 1996 1998
22.953 89.434 0.5 1 340 1997 1998
