Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Tyler Hansbrough,PF,24,IND,2010,29,1,511,4,0,221,36.7,113,74.3,60,78,28,17,8,21,70,14.6,25.5,0.07,-0.3
James Harden,SG,20,OKC,2010,76,0,1738,248,37.5,330,42.4,240,80.80000000000001,47,197,137,80,20,106,200,14,20.4,0.124,1.3
Al Harrington,PF,29,NYK,2010,72,15,2195,409,34.2,621,49.6,317,75.7,88,317,110,62,26,132,209,16.8,26.8,0.077,0.1
Devin Harris,PG,26,NJN,2010,64,61,2221,217,27.6,667,44.4,386,79.80000000000001,24,179,423,79,18,181,178,16.2,25.5,0.057,0.8
Mike Harris,PF,26,HOU,2010,8,0,82,1,0,26,38.5,9,55.60000000000001,9,11,3,4,1,9,10,6.4,21.6,-0.073,-0.1
Trenton Hassell,SF,30,NJN,2010,52,31,1106,5,0,214,42.1,69,75.4,56,96,50,17,9,47,91,6.5,12.3,-0.003,-0.9
Spencer Hawes,C,21,SAC,2010,72,59,1904,87,29.9,579,49.4,106,68.89999999999999,145,291,158,32,83,131,200,13.8,19.6,0.054,0.8
Jarvis Hayes,SF,28,NJN,2010,45,19,1033,179,33.5,149,52.300000000000004,18,77.8,9,99,40,29,9,28,91,9.7,16.2,0.038,-0.2
Brendan Haywood,C,30,DAL,2010,28,19,741,1,0,155,56.8,87,57.49999999999999,78,130,25,8,57,32,64,16.1,14,0.144,0.7
Luther Head,SG,27,IND,2010,47,10,813,105,35.199999999999996,206,48.1,58,82.8,6,74,72,18,9,54,53,11.5,21.2,0.034,-0.4
Gerald Henderson,SG,22,CHA,2010,43,0,355,19,21.099999999999998,85,38.800000000000004,47,74.5,15,40,13,10,9,14,25,9.7,18.2,0.056,-0.2
Roy Hibbert,C,23,IND,2010,81,69,2035,6,50,776,49.5,224,75.4,177,287,158,30,131,145,285,16.2,22.2,0.098,1.2
J.J. Hickson,PF,21,CLE,2010,81,73,1691,1,0,521,55.50000000000001,163,68.10000000000001,110,290,40,36,39,92,132,15.2,18.9,0.123,-0.2
Nene Hilario,C,27,DEN,2010,82,82,2755,2,0,715,58.9,416,70.39999999999999,166,461,203,115,82,125,281,18.9,16.5,0.188,4.6
George Hill,PG,23,SAS,2010,78,43,2276,188,39.900000000000006,550,50.5,237,77.2,42,163,226,69,26,101,222,14.7,19,0.142,2
Grant Hill*,SF,37,PHO,2010,81,81,2430,80,43.8,623,48.3,251,81.69999999999999,74,371,193,60,36,108,165,14,16.8,0.109,1.9
Jordan Hill,PF,22,NYK,2010,24,0,252,2,0,90,45.6,21,71.39999999999999,32,29,7,10,9,12,37,14,20.3,0.059,-0.2
Kirk Hinrich,SG,29,CHI,2010,74,53,2481,280,37.1,473,43.1,113,75.2,24,236,330,85,24,113,204,11.6,16.6,0.077,1.2
Jrue Holiday,PG,19,PHI,2010,73,51,1767,159,39,361,46.5,86,75.6,56,135,280,79,18,156,153,12.3,18.4,0.032,0.1
Ryan Hollins,C,25,MIN,2010,73,27,1223,1,0,302,56.00000000000001,158,69,79,128,51,19,38,95,199,11,16.6,0.048,-0.4
Al Horford,C,23,ATL,2010,81,81,2845,1,100,846,55.1,270,78.9,236,563,189,59,91,122,225,19.4,17.6,0.183,3.8
Eddie House,PG,31,BOS,2010,50,0,846,167,38.3,155,41.9,40,90,7,62,48,28,7,27,61,11.9,20.3,0.081,0
